state,district,elevation,avg_temp,latitude,longitude,annual_rainfall,rainfall
AN,Nicobar,14.0,27.5,8.766666666666666,93.0611,2403.0,
AN,North & Middle Andaman,20.0,27.2,12.666700000000002,92.925,2071.0,
AN,South Andaman,33.0,27.4,11.474563346478874,92.69418046197184,3330.0,
AP,Bapatla,0.0,27.8,15.900000000000002,80.4667,1353.0,
AP,Bhadradri Kothagudem,110.0,27.6,17.55,80.6333,1295.0,
AP,East Godavari,46.0,28.2,17.1104,81.8182,1439.0,
AP,Guntur,104.0,28.5,16.55,79.55,997.0,
AP,Hanumakonda,266.0,26.8,18.0167,79.5667,1127.0,
AP,Hyderabad,574.0,26.8,17.3453,78.4478,1415.0,
AP,Kakinada,11.0,28.0,17.06495850221965,82.3243183941324,1628.0,
AP,Khammam,110.0,27.8,17.25,80.15,1189.0,
AP,Krishna,12.0,28.7,16.366310682774536,80.97535631871861,1919.0,
AP,Kurnool,280.0,28.8,15.8,78.0667,1322.0,
AP,Mahabubnagar,504.0,25.6,16.75,78.0,920.0,
AP,Medak,472.0,25.4,18.05,78.2667,1065.0,
AP,NTR,0.0,28.2,16.7833,80.2833,1276.0,
AP,Nalgonda,0.0,28.5,17.0,79.25,1121.0,
AP,Nandyal,211.0,28.1,15.4667,78.4833,1114.0,
AP,Nellore,18.0,29.1,14.579353281853283,79.9833,1655.0,
AP,Nizamabad,379.0,28.4,18.6667,78.1,1876.0,
AP,Peddapalli,156.0,27.8,18.7667,79.4333,1958.0,
AP,Prakasam,22.0,28.3,15.5,80.0833,1171.0,
AP,Sri Sathya Sai,349.0,28.4,14.6833,77.6167,1179.0,
AP,Srikakulam,5.0,27.4,18.3333,84.1333,1918.0,
AP,Tirupati,304.0,26.7,13.610868039391228,79.20918397493286,1170.0,
AP,Visakhapatnam,14.0,27.8,17.71365,83.247775,1566.0,
AP,West Godavari,0.0,27.5,16.4333,81.7,1437.0,
AP,YSR,129.0,28.2,14.4833,78.8333,913.0,
AR,East Siang,155.0,24.0,28.1,95.3833,5258.0,
AS,Cachar,21.0,25.6,24.75,92.8,3716.0,
AS,Dhubri,18.0,25.3,26.08335,89.95000000000002,4066.0,
AS,Dibrugarh,110.0,24.7,27.4833,95.0167,3120.0,
AS,Dima Hasao,680.0,20.9,25.1667,93.0167,1582.0,
AS,Goalpara,36.0,24.1,26.183300000000003,90.6333,3683.0,
AS,Golaghat,0.0,23.5,26.5167,93.9833,2716.0,
AS,Hojai,147.0,23.7,25.75,93.1833,1701.0,
AS,Jorhat,880.0,24.0,26.0667,90.1667,2615.0,
AS,Kamrup,57.0,23.8,26.433300000000003,91.6167,3365.0,
AS,Kamrup Metropolitan,47.0,25.3,26.1,91.5833,2602.0,
AS,Lakhimpur,101.0,24.7,27.2333,94.1167,4298.0,
AS,Nagaon,64.0,24.0,26.2,92.5167,2263.0,
AS,Sonitpur,77.0,24.8,26.6167,92.7833,2601.0,
AS,Udalguri,0.0,23.6,26.75,92.35,3264.0,
BR,Araria,59.0,24.0,26.300000000000004,87.2667,1933.0,
BR,Bhagalpur,40.0,25.5,25.2333,87.00835,1678.0,
BR,Darbhanga,47.0,24.3,26.1667,85.9,1417.0,
BR,East Champaran,83.0,23.7,26.9833,84.85,1640.0,
BR,East Singhbhum,134.0,26.1,22.8167,86.1833,1309.0,
BR,Gaya,110.0,25.4,24.75,84.95,1159.0,
BR,Muzaffarpur,52.0,24.6,26.1167,85.4,1299.0,
BR,Palamu,0.0,25.9,24.05,84.0667,2035.0,
BR,Patna,51.0,25.7,25.6,85.1,1554.0,
BR,Purnia,0.0,25.5,25.2667,87.4667,2493.0,
BR,Ranchi,650.0,24.1,23.375,85.35835,2022.0,
BR,Rohtas,0.0,25.8,24.9167,84.1833,1144.0,
BR,Saran,55.0,24.9,25.7833,84.7333,1151.0,
BR,Supaul,0.0,24.2,26.1333,86.5833,1515.0,
CH,Chandigarh,347.0,23.5,30.7333,76.8833,1463.0,
CT,Raipur,313.0,26.8,21.2333,81.65,1348.0,
CT,Rajnandgaon,329.0,25.7,21.1,81.0333,1295.0,
DD,Daman,5.0,27.1,20.42555,72.8466,2010.0,
DL,New Delhi,216.0,25.3,28.575,77.15835,1592.0,
GA,North Goa,58.0,27.6,15.4833,73.8167,4560.0,
GA,South Goa,52.0,27.7,15.4,73.8,4501.0,
GJ,Ahmedabad,55.0,27.9,23.0667,72.6333,1762.0,
GJ,Amreli,0.0,27.7,21.6,71.2167,868.0,
GJ,Anand,41.0,27.2,22.5667,72.9333,944.0,
GJ,Banaskantha,135.0,28.3,24.2,72.2,1287.0,
GJ,Bhavnagar,6.0,28.5,21.54052198776113,72.06907231483436,1078.0,
GJ,Devbhumi Dwarka,8.0,26.7,22.425000000000004,69.1,1386.0,
GJ,Diu,10.0,27.3,20.7167,70.9167,904.0,
GJ,Gandhinagar,0.0,27.8,23.2333,72.71669999999999,1714.0,
GJ,Gir Somnath,16.0,27.1,20.99249223444773,70.35560181972069,1459.0,
GJ,Jamnagar,14.0,26.3,22.45,70.0833,787.0,
GJ,Kachchh,41.0,26.8,23.197957858997405,69.54258760734972,873.0,
GJ,Porbandar,5.0,27.0,21.65,69.6667,1651.0,
GJ,Rajkot,134.0,27.5,22.3,70.7833,1940.0,
GJ,Surat,8.0,27.7,21.15705,72.78755,2473.0,
GJ,Surendranagar,72.0,27.4,22.7333,71.6,792.0,
GJ,Vadodara,36.0,27.4,22.31665,73.25835000000001,1060.0,
GJ,Valsad,0.0,26.9,20.6167,72.9333,2112.0,
HP,Bilaspur,589.0,21.2,31.25,76.6667,914.0,
HP,Kangra,990.0,18.9,32.2159,76.32335,1804.0,
HP,Kullu,0.0,21.9,32.04991687763713,77.1667,1947.0,
HP,Mandi,817.0,19.4,31.625,76.93335,1080.0,
HP,Shimla,1993.0,15.3,31.094139450335422,77.1349177883575,1702.0,
HP,Solan,1986.0,16.3,30.9,77.0167,2110.0,
HP,Una,365.0,22.1,31.4667,76.2667,949.0,
HR,Ambala,469.0,22.6,30.388103225806447,76.7667,1137.0,
HR,Hisar,216.0,24.4,29.1667,75.7333,893.0,
HR,Karnal,248.0,23.2,29.7,77.0333,847.0,
HR,Mahendragarh,306.0,24.2,28.0,76.0833,584.0,
HR,Rohtak,0.0,25.1,28.8333,76.5833,657.0,
JK,Anantnag,0.0,20.7,33.5833,75.0833,1560.0,
JK,Baramulla,2652.0,6.9,34.05,74.4,1265.0,
JK,Jammu,341.0,22.5,32.67735074626866,74.83524946695096,1648.0,
JK,Ramban,1624.0,13.8,33.5,75.1667,1112.0,
JK,Srinagar,1624.0,13.6,34.033300000000004,74.8083,1244.0,
KA,Bagalkote,524.0,26.1,16.7,75.75,836.0,
KA,Ballari,468.0,26.3,15.1629,76.74165,727.0,
KA,Belagavi,754.0,24.1,15.85,74.575,1659.0,
KA,Bengaluru Rural,897.0,24.2,13.1979,77.7063,1430.0,
KA,Bengaluru Urban,904.0,24.2,12.95835,77.6083,1652.0,
KA,Bidar,663.0,25.4,17.9167,77.5333,926.0,
KA,Bijapur,593.0,26.3,16.8167,75.7167,811.0,
KA,Chamarajanagar,760.0,24.3,11.9333,76.9333,1077.0,
KA,Chikkaballapura,811.0,23.7,13.315790651844363,78.02948423446185,1031.0,
KA,Chikkamagaluru,0.0,27.4,13.25,75.75,1867.0,
KA,Chitradurga,724.0,25.4,14.2333,76.43330000000002,1342.0,
KA,Dakshina Kannada,67.0,27.4,12.93335,74.8583,5368.0,
KA,Davangere,620.0,25.3,14.5,75.9167,1154.0,
KA,Dharwad,678.0,24.3,15.4833,74.9833,1079.0,
KA,Gadag,661.0,25.6,15.4167,75.6333,1128.0,
KA,Hassan,955.0,22.5,13.0,76.15,1154.0,
KA,Haveri,573.0,25.0,14.7833,75.4,1035.0,
KA,Kalaburagi,457.0,27.5,17.35,76.85,1005.0,
KA,Kodagu,1150.0,20.2,12.416700000000002,75.7333,2471.0,
KA,Koppal,532.0,25.9,15.349999999999998,76.15,855.0,
KA,Latur,639.0,25.8,18.0667,77.1167,928.0,
KA,Mandya,695.0,24.4,12.5,76.8333,1211.0,
KA,Mysuru,765.0,24.3,12.3,76.7,1191.0,
KA,Raichur,398.0,27.2,16.2,77.35,999.0,
KA,Shivamogga,614.0,23.5,13.719375620537232,75.36175970758246,2712.0,
KA,Uttara Kannada,19.0,27.9,14.36080258149614,74.38219355568117,5573.0,
KL,Alappuzha,2.0,26.8,9.55,76.4167,2813.0,
KL,Ernakulam,5.0,27.0,10.054675,76.325475,3181.0,
KL,Kannur,11.0,29.0,11.8333,75.3333,4648.0,
KL,Kollam,33.0,26.0,9.0,76.9167,2855.0,
KL,Kottayam,39.0,26.1,9.5833,76.5167,3334.0,
KL,Kozhikode,54.0,27.8,11.1934,75.8693,4245.0,
KL,Malappuram,52.0,27.4,11.205257746478871,76.0859041971831,3807.0,
KL,Palakkad,95.0,26.9,10.7667,76.65,2052.0,
KL,Theni,300.0,25.1,10.0,77.1333,2704.0,
KL,Thiruvananthapuram,32.0,28.1,8.475,76.95,2773.0,
KL,Thrissur,40.0,26.8,10.5167,76.2167,2998.0,
LD,Lakshadweep,3.0,28.5,10.221482364901016,72.72116996254682,2100.0,
MH,Ahmednagar,655.0,24.6,19.0833,74.8,966.0,
MH,Akola,292.0,27.4,20.7,77.05,1635.0,
MH,Amravati,367.0,28.0,20.9333,77.7833,1408.0,
MH,Aurangabad,580.0,26.7,19.86665,75.36664999999999,992.0,
MH,Buldhana,648.0,27.0,20.5333,76.2333,1566.0,
MH,Chandrapur,205.0,28.1,20.208552705822004,79.51004103616312,1753.0,
MH,Gondia,311.0,28.1,21.4667,80.2,2163.0,
MH,Jalgaon,200.0,27.2,21.05,75.5667,1074.0,
MH,Jalna,534.0,25.8,19.8333,75.8,1051.0,
MH,Kolhapur,569.0,26.8,16.7,74.2333,1905.0,
MH,Mumbai City,10.0,28.0,18.9,72.8167,4549.0,
MH,Mumbai Suburban,7.0,28.1,19.122285637039543,72.70047428185198,3733.0,
MH,Nagpur,310.0,27.0,21.125,79.08335,2003.0,
MH,Nanded,355.0,26.8,19.0833,77.3333,1081.0,
MH,Nashik,552.0,25.3,20.20540229419703,74.04615070368229,940.0,
MH,Palghar,4.0,26.9,19.9667,72.7167,1885.0,
MH,Parbhani,422.0,26.6,19.2667,76.7667,1037.0,
MH,Pune,568.0,25.0,18.48978217063,74.00081033472331,1240.0,
MH,Raigad,3.0,27.0,18.75661802215617,73.01348368008647,2316.0,
MH,Ratnagiri,49.0,27.7,17.356153255500672,73.22892435264181,5622.0,
MH,Sangli,545.0,26.4,16.85,74.6,1014.0,
MH,Satara,1138.0,22.5,17.80112071169827,73.78831382910718,5759.0,
MH,Sindhudurg,15.0,27.1,15.8667,73.6333,2941.0,
MH,Solapur,489.0,27.4,17.82005722286597,75.69870606411743,1182.0,
MH,Wardha,282.0,26.7,20.6667,78.5833,1259.0,
MH,Yavatmal,450.0,26.5,20.4,78.15,1283.0,
ML,East Khasi Hills,1510.0,17.4,25.468825212171392,91.83694313806666,3476.0,
ML,Ri-Bhoi,893.0,19.7,25.7,91.9667,2450.0,
MN,Imphal West,780.0,22.2,24.766700000000004,93.9,1773.0,
MP,Balaghat,580.0,24.1,22.0,80.7,1289.0,
MP,Bastar,552.0,25.2,19.0833,82.0333,2290.0,
MP,Betul,652.0,23.7,21.8667,77.9333,1170.0,
MP,Bhopal,523.0,25.4,23.2833,77.35,2298.0,
MP,Chhatarpur,222.0,25.2,25.025,79.68335,1096.0,
MP,Chhindwara,675.0,23.8,22.1,79.0,1144.0,
MP,Damoh,369.0,24.9,23.8333,79.45,1236.0,
MP,Datia,227.0,26.3,25.6667,78.4667,1467.0,
MP,Dhar,581.0,24.5,22.6,75.3,1146.0,
MP,Durg,292.0,25.8,21.1833,81.2833,1336.0,
MP,Gaurela-Pendra-Marwahi,624.0,24.4,22.7667,81.9,2025.0,
MP,Guna,477.0,25.4,24.65,77.3167,2055.0,
MP,Gwalior,205.0,25.3,26.2333,78.25,1439.0,
MP,Indore,561.0,25.3,22.7167,75.8,1858.0,
MP,Jabalpur,391.0,25.9,23.2,79.95,1469.0,
MP,Khandwa,317.0,26.3,21.8333,76.3667,1187.0,
MP,Khargone,250.0,26.3,21.8167,75.6167,1004.0,
MP,Mandla,441.0,24.5,22.5833,80.3667,1456.0,
MP,Narmadapuram,544.0,25.7,22.67053207750269,77.98038512378902,2034.0,
MP,Narsinghpur,354.0,25.2,22.95,79.1833,1295.0,
MP,Raipur,294.0,27.0,21.216700000000003,81.6667,1347.0,
MP,Raisen,435.0,23.5,23.3167,77.83329999999998,925.0,
MP,Rajgarh,380.0,25.1,24.0,76.7167,1228.0,
MP,Ratlam,484.0,24.7,23.3167,75.05,1149.0,
MP,Rewa,298.0,24.7,24.5333,81.3,1042.0,
MP,Sagar,550.0,25.3,23.85,78.75,1848.0,
MP,Satna,315.0,25.5,24.5667,80.8333,1844.0,
MP,Sehore,502.0,25.1,23.2032,77.0845,1200.0,3.3
MP,Seoni,617.0,24.5,22.0833,79.55,1289.0,
MP,Shajapur,444.0,24.7,23.433300000000003,76.3167,1166.0,
MP,Sheopur,234.0,25.3,25.666699999999995,76.6833,1150.0,
MP,Shivpuri,463.0,24.3,25.3333,77.65,1018.0,
MP,Sidhi,270.0,24.7,24.4167,81.8667,1046.0,
MP,Surguja,596.0,23.9,23.1667,83.25,1951.0,
MP,Tikamgarh,344.0,24.6,24.7667,78.8333,1040.0,
MP,Ujjain,488.0,24.7,23.183300000000003,75.7833,1064.0,
MP,Umaria,458.0,24.3,23.5333,80.8833,1165.0,
MP,Vidisha,425.0,23.6,23.5333,77.8167,925.0,
MP,Washim,565.0,25.7,20.1167,77.1333,1156.0,
MZ,Aizawl,227.0,24.1,23.790485673352432,92.66500372492835,1684.0,
NL,Jiribam,152.0,23.9,25.879999999999995,93.76999999999998,1602.0,
NL,Kohima,1405.0,17.4,25.6333,94.1667,1674.0,
OR,Angul,137.0,26.4,20.8333,85.1,1308.0,
OR,Balasore,18.0,26.8,21.5167,86.9333,2381.0,
OR,Bhadrak,5.0,27.2,20.7833,86.7333,2458.0,
OR,Cuttack,27.0,27.0,20.4667,85.9333,2191.0,
OR,Ganjam,16.0,27.0,19.2667,84.8833,1858.0,
OR,Jagatsinghpur,4.0,26.6,20.3,86.6833,1553.0,
OR,Jharsuguda,228.0,27.0,21.916699999999995,84.0833,2157.0,
OR,Kalahandi,261.0,26.1,19.9167,83.1833,1297.0,
OR,Keonjhar,461.0,24.7,21.6167,85.5167,1345.0,
OR,Khordha,45.0,27.0,20.25,85.8333,2279.0,
OR,Koraput,0.0,27.5,18.8167,82.7167,1344.0,
OR,Mayurbhanj,53.0,26.2,21.9333,86.7667,1485.0,
OR,Puri,5.0,27.6,19.800000000000004,85.8167,2523.0,
OR,Sambalpur,0.0,28.6,21.4667,83.9667,2184.0,
OR,Sundargarh,177.0,26.4,22.069238275584205,84.23203529411765,2046.0,
PB,Amritsar,229.0,23.1,31.6333,74.8667,1180.0,
PB,Bathinda,207.0,23.5,30.1667,74.5833,278.0,
PB,Ludhiana,254.0,24.1,30.8607,75.94295000000001,1109.0,
PB,Pathankot,310.0,21.4,32.2338,75.6346,1066.0,
PB,Patiala,249.0,23.7,30.3333,76.46669999999999,1324.0,
PY,Cuddalore,5.0,28.5,11.7667,79.7667,2572.0,
PY,Karaikal,7.0,28.7,10.9167,79.8333,2526.0,
RJ,Ajmer,485.0,25.5,26.45,74.6167,1135.0,
RJ,Alwar,270.0,24.6,27.5,76.5833,768.0,
RJ,Barmer,193.0,27.9,25.75,71.3833,648.0,
RJ,Bhilwara,421.0,24.5,25.35,74.6333,755.0,
RJ,Bikaner,223.0,26.6,28.0,73.3,373.0,
RJ,Bundi,266.0,24.6,25.45,75.6333,907.0,
RJ,Chittorgarh,404.0,24.3,24.8833,74.6333,808.0,
RJ,Churu,290.0,25.5,28.25,74.9167,732.0,
RJ,Ganganagar,176.0,25.0,29.9167,73.91669999999999,564.0,
RJ,Jaipur,385.0,26.2,26.8167,75.8,1371.0,
RJ,Jaisalmer,231.0,27.2,26.9,70.9167,656.0,
RJ,Jhunjhunu,300.0,24.6,28.3333,75.5833,521.0,
RJ,Jodhpur,222.0,26.7,26.540971741660204,72.82873452288595,575.0,
RJ,Kota,273.0,26.4,25.15,75.85,1157.0,
RJ,Pali,294.0,25.4,25.0833,73.0833,625.0,
RJ,Sawai Madhopur,0.0,27.0,25.9833,76.3667,1145.0,
RJ,Sikar,431.0,24.5,27.6167,75.1333,485.0,
RJ,Sirohi,1196.0,20.8,24.6,72.7167,1023.0,
RJ,Udaipur,534.0,25.2,24.6059,73.82646666666668,1325.0,
SK,Gangtok,1756.0,13.5,27.3333,88.6167,4069.0,
TN,Chennai,8.0,29.0,13.03335,80.21665,2562.0,
TN,Coimbatore,509.0,25.9,10.893598037889038,77.00694891745603,1683.0,
TN,Cuddalore,3.0,28.2,11.5,79.7667,2360.0,
TN,Dharmapuri,396.0,26.0,12.1333,78.0333,1165.0,
TN,Dindigul,2339.0,13.3,10.2333,77.4667,2109.0,
TN,Kanyakumari,36.0,28.1,8.0833,77.5,1526.0,
TN,Karur,182.0,28.2,10.95,78.0833,1094.0,
TN,Madurai,136.0,29.1,9.875,78.1,1599.0,
TN,Nagapattinam,2.0,28.8,10.7667,79.85,2642.0,
TN,Nilgiris,1990.0,16.0,11.375,76.76665,1910.0,
TN,Puducherry,37.0,28.1,11.9677,79.8134,2390.0,
TN,Ramanathapuram,7.0,29.1,9.489039597315436,79.17291476510067,1943.0,
TN,Salem,858.0,23.7,11.698915187376723,78.1667,1376.0,
TN,Thanjavur,2.0,27.8,10.54346129032258,79.26654372759857,1445.0,
TN,Thoothukudi,0.0,28.1,8.75,78.1833,1327.0,
TN,Tiruchirappalli,85.0,29.3,10.7667,78.7167,1524.0,
TN,Tirunelveli,45.0,28.3,8.7333,77.75,1315.0,
TN,Tirupattur,385.0,26.0,12.4833,78.5667,1178.0,
TN,Tiruvallur,0.0,28.2,13.15,79.5333,1438.0,
TN,Vellore,213.0,29.3,12.9167,79.15,1582.0,
TN,Virudhunagar,103.0,29.3,9.55,78.0833,1556.0,
TR,Unakoti,27.0,25.6,24.3167,92.0,3552.0,
TR,West Tripura,15.0,26.0,23.8833,91.25,2861.0,
UP,Agra,168.0,24.9,27.15835,78.0,860.0,
UP,Aligarh,186.0,24.2,27.8833,78.0667,847.0,
UP,Bahraich,122.0,24.8,27.5667,81.6,2117.0,
UP,Banda,120.0,25.4,25.4667,80.3667,1097.0,
UP,Bareilly,167.0,24.4,28.3667,79.4,2038.0,
UP,Bijnor,269.0,22.3,29.6167,78.3833,1174.0,
UP,Dehradun,620.0,22.0,30.2532,78.1068,2594.0,
UP,Ghazipur,0.0,25.2,25.4,83.55,1181.0,
UP,Gorakhpur,76.0,25.0,26.75,83.3667,2214.0,
UP,Hamirpur,109.0,25.2,25.95,80.15,1037.0,
UP,Hardoi,141.0,24.2,27.3833,80.1667,1096.0,
UP,Jalaun,140.0,25.3,25.9833,79.5,1045.0,
UP,Jhansi,250.0,26.4,25.45,78.5833,1543.0,
UP,Kanpur Nagar,124.0,24.9,26.41665,80.38335,1073.0,
UP,Lucknow,116.0,25.4,26.80835,80.9083,1929.0,
UP,Maharajganj,98.0,23.6,27.4333,83.4167,1854.0,
UP,Meerut,221.0,23.6,29.0167,77.6333,909.0,
UP,Moradabad,0.0,24.5,28.8333,78.75,1141.0,
UP,Nainital,2196.0,15.1,29.445414894985,79.59150585083584,1784.0,
UP,Prayagraj,97.0,25.8,25.45,81.7333,1162.0,
UP,Rae Bareli,107.0,24.9,26.25,81.3667,1083.0,
UP,Rampur,191.0,23.4,28.75,79.0,1141.0,
UP,Shahjahanpur,155.0,23.8,27.8833,79.9,1150.0,
UP,Tehri Garhwal,0.0,19.8,30.4,78.4833,1584.0,
UP,Udham Singh Nagar,233.0,23.0,29.0333,79.4667,1359.0,
UP,Varanasi,84.0,26.0,25.375,82.9417,1608.0,
WB,Bankura,0.0,25.6,23.25,87.05,1504.0,
WB,Birbhum,58.0,25.6,23.65,87.7,1352.0,
WB,Cooch Behar,41.0,25.6,26.3333,89.4667,4130.0,
WB,Dakshin Dinajpur,0.0,24.7,25.216700000000003,88.7833,1821.0,
WB,Darjeeling,2127.0,13.5,27.05,88.2667,4004.0,
WB,Hooghly,0.0,25.7,22.9833,88.3667,1717.0,
WB,Howrah,0.0,25.8,22.5,87.95,1716.0,
WB,Jalpaiguri,83.0,24.8,26.61115315115286,88.466529205807,3673.0,
WB,Kalimpong,0.0,23.3,27.066700000000004,88.4667,2882.0,
WB,Kolkata,4.0,26.8,22.59165,88.39165,2392.0,
WB,Malda,26.0,26.2,25.0333,88.1333,1870.0,
WB,Murshidabad,18.0,25.5,24.1333,88.2667,1451.0,
WB,Nadia,12.0,25.6,23.4,88.5167,1615.0,
WB,Paschim Bardhaman,80.0,25.6,23.5416748406575,87.31668913116404,1436.0,
WB,Paschim Medinipur,0.0,25.8,22.4167,87.3167,1603.0,
WB,Purba Bardhaman,0.0,25.5,23.2333,87.85,1544.0,
WB,Purba Medinipur,5.0,26.3,21.808300000000003,87.76665,1697.0,
WB,Purulia,254.0,24.9,23.3333,86.4167,1304.0,
WB,South 24 Parganas,4.0,26.1,22.21665,88.43335,1763.0,
